shop,date,pre,post,pct
14548101,2026-03-11,2541258.3333333335,2360991.6666666665,-0.07093598643716544
14548101,2026-03-12,2517925.0,2383908.3333333335,-0.05322504310758522
14548101,2026-03-13,2466850.0,2387850.0,-0.032024646816790646
14588959,2025-12-23,713671.4285714285,1048528.5714285715,0.4692035150229199
14588959,2025-12-25,748200.0,996371.4285714285,0.3316912972085385
14588959,2025-12-26,783460.0,1001007.1428571428,0.2776748562238568
14588959,2025-12-27,778527.2727272727,947235.7142857143,0.2167020314746792
14588959,2025-12-28,843475.0,905307.1428571428,0.07330643214931426
14588959,2025-12-29,887084.6153846154,911385.7142857143,0.027394341508856692
14588959,2025-12-30,891292.8571428572,905464.2857142857,0.01589985654867322
14588959,2025-12-31,895414.2857142857,870164.2857142857,-0.028199237384131846
14588959,2026-01-12,905307.1428571428,803442.8571428572,-0.11251903458179147
14588959,2026-03-05,706021.4285714285,634158.3333333334,-0.10178599732235284
14588959,2026-03-12,721492.3076923077,625930.7692307692,-0.1324498368765593
14588959,2026-03-13,683553.8461538461,642938.4615384615,-0.059417973937115995
14588959,2026-03-20,634158.3333333334,683907.1428571428,0.07844856230511749
14588959,2026-03-30,656815.3846153846,657742.8571428572,0.0014120749135857116
14588959,2026-04-01,627300.0,645042.8571428572,0.02828448452551755
14588959,2026-05-06,656835.7142857143,564692.8571428572,-0.14028295833922377
14588959,2026-05-11,652457.1428571428,584242.8571428572,-0.10454983359607632
14588959,2026-05-27,573157.1428571428,616585.7142857143,0.075770793350116
14588959,2026-05-28,576957.1428571428,616721.4285714285,0.06892069230197831
14588959,2026-05-30,552400.0,623592.8571428572,0.12887917658011797
14590778,2026-03-09,1699957.142857143,1516971.4285714286,-0.10764136911014564
14590778,2026-03-20,1467357.142857143,1700078.5714285714,0.15859903616803764
14590778,2026-05-06,1373227.2727272727,1053164.2857142857,-0.23307357301266807
14596329,2025-12-31,769435.7142857143,950871.4285714285,0.23580360375414253
14596329,2026-01-02,792257.1428571428,1010464.2857142857,0.2754246456778102
14596329,2026-01-19,1031821.4285714285,906957.1428571428,-0.12101346440067838
14596329,2026-01-28,988814.2857142857,1056278.5714285714,0.06822745857231602
14596329,2026-02-01,953271.4285714285,1014457.1428571428,0.06418498703712033
14596329,2026-03-09,807464.2857142857,700442.8571428572,-0.13254013888274574
14596329,2026-03-18,728092.8571428572,684450.0,-0.059941334013518706
14610730,2026-01-11,2449361.5384615385,2436271.4285714286,-0.005344294700704679
14610730,2026-01-21,2562821.4285714286,2115242.8571428573,-0.17464290193564566
14610730,2026-03-09,2498379.285714286,2247092.8571428573,-0.10057977586040781
14610730,2026-04-01,2221635.714285714,2492035.714285714,0.12171212330682991
14622220,2026-01-12,1458064.2857142857,1210564.2857142857,-0.1697456020457652
14622220,2026-01-17,1477978.5714285714,1033592.8571428572,-0.3006712836547987
14622220,2026-01-18,1440921.4285714286,1002535.7142857143,-0.30423984652677605
14622220,2026-01-19,1440700.0,990721.4285714285,-0.31233329036480284
14622220,2026-01-21,1359785.7142857143,1015785.7142857143,-0.2529810369280874
14622220,2026-02-03,990721.4285714285,1124171.4285714286,0.13469982191909227
14622220,2026-02-04,992314.2857142857,1105457.142857143,0.11401917595231939
14622220,2026-02-06,1044578.5714285715,1056464.2857142857,0.011378477991807964
14622220,2026-02-09,1040564.2857142857,987728.5714285715,-0.050776021252205115
14622220,2026-02-16,1045335.7142857143,1065978.5714285714,0.019747586216321385
14622220,2026-02-20,1076600.0,1119707.142857143,0.04004007324646383
14622220,2026-03-02,1008128.5714285715,1155842.857142857,0.1465232609219344
14622220,2026-03-09,1227264.2857142857,1055114.2857142857,-0.14027133519966012
14622220,2026-03-10,1235514.2857142857,1068114.2857142857,-0.13549013713202138
14622220,2026-03-13,1172207.142857143,1051242.857142857,-0.10319360912564227
14622220,2026-03-14,1197278.5714285714,1027321.4285714285,-0.14195288123661398
14622220,2026-03-15,1251728.5714285714,1058485.7142857143,-0.15438079912349773
14622220,2026-03-16,1222250.0,1040485.7142857143,-0.14871285392864445
14622220,2026-04-04,977557.1428571428,883150.0,-0.09657455172514576
14622220,2026-04-10,906135.7142857143,852835.7142857143,-0.05882121095074058
14622805,2026-03-11,2840225.0,2920591.6666666665,0.028295880314646377
14622805,2026-03-12,2751433.3333333335,2975983.3333333335,0.08161200828659002
14622805,2026-03-13,2671333.3333333335,2985325.0,0.11754117793860737
14648776,2026-01-02,896250.0,1059957.142857143,0.1826578999800758
14648776,2026-01-12,962550.0,1131964.2857142857,0.1760056991473541
14648776,2026-01-19,1123735.7142857143,963357.1428571428,-0.142719119264189
14648776,2026-03-09,1314278.5714285714,1217035.7142857143,-0.07398953255180728
14648776,2026-03-28,1282371.4285714286,1279742.857142857,-0.0020497738564713994
14648776,2026-05-04,1041250.0,1311664.2857142857,0.2597015949236837
14649539,2026-01-03,1983625.0,1828015.3846153845,-0.07844709326844312
14649539,2026-01-19,1907946.1538461538,1913957.142857143,0.0031505024389036785
14649539,2026-01-24,2012614.2857142857,1856628.5714285714,-0.07750402816521512
14649539,2026-01-26,2024100.0,1827785.7142857143,-0.09698843224854783
14649539,2026-03-09,2003800.0,1919785.7142857143,-0.04192748064391939
14656760,2026-01-06,1699100.0,2405541.6666666665,0.415774037235399
14656760,2026-01-12,1820364.2857142857,2419216.6666666665,0.3289739233251324
14656760,2026-02-25,1904657.142857143,1988692.857142857,0.044121176664716454
14656760,2026-03-09,1947857.142857143,1747721.4285714286,-0.10274660799413275
14656760,2026-03-15,1966064.2857142857,1714971.4285714286,-0.1277134521832958
14656760,2026-03-20,1810842.857142857,1734235.7142857143,-0.0423046884244905
14656760,2026-04-23,1899178.5714285714,2017357.142857143,0.06222615040336997
14656760,2026-04-28,1946400.0,2052757.142857143,0.05464300393400275
14656760,2026-04-29,1943864.2857142857,2023042.857142857,0.04073256142955303
14662149,2026-01-19,1060542.857142857,903764.2857142857,-0.14782860529647884
14662149,2026-01-24,1063350.0,954507.1428571428,-0.10235844937495384
14662149,2026-02-28,964538.4615384615,1014321.4285714285,0.05161325236690097
14662149,2026-03-09,1113978.5714285714,832307.1428571428,-0.25285174759709406
14662149,2026-04-03,720271.4285714285,768550.0,0.0670283028223488
14662149,2026-04-21,805464.2857142857,873842.8571428572,0.08489336230213282
14662149,2026-05-01,800221.4285714285,1067792.857142857,0.3343717363943908
14662149,2026-05-21,1113214.2857142857,1023250.0,-0.08081488610843757
14662149,2026-05-22,1108957.142857143,1006100.0,-0.09275123346258397
14668913,2026-01-01,1779241.6666666667,1576000.0,-0.11422937674758445
14668913,2026-01-19,1664423.076923077,1661842.857142857,-0.0015502187009987
14668913,2026-01-24,1658835.7142857143,1607992.857142857,-0.030649724204153597
14668913,2026-01-26,1643592.857142857,1587135.7142857143,-0.03434983463927016
14668913,2026-03-09,1988914.2857142857,1772864.2857142857,-0.10862710452220882
14672950,2026-01-01,2663878.5714285714,2738121.4285714286,0.027870210729253584
14672950,2026-01-12,2828535.714285714,2554592.8571428573,-0.09684970769832942
14672950,2026-01-19,2703750.0,2505828.5714285714,-0.07320256257842946
14672950,2026-01-20,2613985.714285714,2447600.0,-0.06365211308401503
14672950,2026-02-28,2259676.923076923,2084257.142857143,-0.07763046939511914
14672950,2026-03-09,2229778.5714285714,1798678.5714285714,-0.19333758316809166
14672950,2026-03-19,1848485.7142857143,1887278.5714285714,0.02098628993616391
14672950,2026-05-04,2267407.1428571427,2296542.8571428573,0.012849793817356002
14677340,2026-01-05,2018900.0,1657383.3333333333,-0.17906615813892057
14677340,2026-01-07,1957536.3636363635,1742766.6666666667,-0.10971428217595701
14677340,2026-01-12,1767750.0,1602458.3333333333,-0.09350398340640177
14677340,2026-01-19,1657383.3333333333,1390658.3333333333,-0.1609313878302143
14677340,2026-03-02,1334240.0,1413850.0,0.05966692648998681
14677340,2026-03-09,1387666.6666666667,1291525.0,-0.06928296901273126
14686095,2026-01-04,1581778.5714285714,1594692.857142857,0.008164408057837224
14686095,2026-01-05,1564321.4285714286,1572992.857142857,0.005543252437158862
14686095,2026-03-02,1633684.6153846155,1338914.2857142857,-0.18043282460668367
14686095,2026-03-09,1534771.4285714286,1292871.4285714286,-0.15761304614926372
14686095,2026-03-19,1277221.4285714286,1361350.0,0.06586843091308694
14686095,2026-03-20,1278564.2857142857,1325042.857142857,0.03635215839194627
14686095,2026-04-23,1339907.142857143,1525707.142857143,0.13866632549163854
14692831,2026-01-20,733976.9230769231,857816.6666666666,0.1687243013998203
14692831,2026-01-24,784491.6666666666,870541.6666666666,0.10968886433890311
14692831,2026-03-02,842650.0,1000692.3076923077,0.18755391644491515
14692831,2026-03-09,1016015.3846153846,954246.1538461539,-0.06079556639057553
14692909,2026-01-13,1756923.076923077,1597592.857142857,-0.09068707780835636
14692909,2026-01-15,1779207.6923076923,1582664.2857142857,-0.11046681477556067
14692909,2026-01-21,1728421.4285714286,1517778.5714285714,-0.12187007963500972
14692909,2026-01-23,1652192.857142857,1538614.2857142857,-0.0687441365803888
14692909,2026-01-24,1632492.857142857,1534728.5714285714,-0.05988650136294622
14692909,2026-01-30,1582664.2857142857,1641235.7142857143,0.03700811922030216
14692909,2026-03-09,1844815.3846153845,1465446.1538461538,-0.20564075621492248
14692909,2026-03-11,1755521.4285714286,1403276.923076923,-0.20064950490587163
14692909,2026-03-30,1420469.2307692308,1628435.7142857143,0.1464068907735952
14692909,2026-05-11,1747946.1538461538,1736178.5714285714,-0.0067322339373493785
14692909,2026-05-12,1734500.0,1720978.5714285714,-0.007795577152740638
14692909,2026-05-14,1688950.0,1678585.7142857143,-0.006136526074949336
14692909,2026-05-18,1767571.4285714286,1691564.2857142857,-0.043000889032570974
14692909,2026-05-23,1797471.4285714286,1823328.5714285714,0.01438528726862331
14697166,2026-01-19,3319392.8571428573,3000464.285714286,-0.09608039335937077
