hour,delivery_amt,total_amt
00-01,1043326238,1052683448
01-02,681753788,686886748
02-03,385287600,388174660
03-04,135274700,137685170
04-05,107770000,109414200
05-06,90197895,92067895
06-07,127301200,128003800
07-08,110177600,110712100
08-09,129384750,129894850
09-10,172171700,172305340
10-11,540929224,544181579
11-12,3232475050,3260612280
12-13,3538689229,3564198940
13-14,2764141228,2784666009
14-15,2250591811,2266990771
15-16,1587331224,1599698874
16-17,2986144761,3013407571
17-18,6901889728,6965144342
18-19,10458181526,10545264396
19-20,9122406454,9200095884
20-21,6526943926,6582017356
21-22,4802962753,4848903083
22-23,3225573582,3258264810
23-24,1742470674,1757696894
