shopNumber,mate_code,store,date,baemin_amt,baemin_qty,total_amt,total_qty
,1024878,육식사관학교본점,2025-12-16,852500,26,2140800,72
,1024878,육식사관학교본점,2025-12-17,1233300,42,2637600,103
,1024878,육식사관학교본점,2025-12-18,835300,38,2313200,99
,1024878,육식사관학교본점,2025-12-19,743900,30,2808300,109
,1024878,육식사관학교본점,2025-12-20,846700,36,3291900,119
,1024878,육식사관학교본점,2025-12-21,644800,33,2637600,101
,1024878,육식사관학교본점,2025-12-22,772900,27,2770700,95
,1024878,육식사관학교본점,2025-12-23,583800,23,1778800,64
,1024878,육식사관학교본점,2025-12-24,966900,41,3061600,117
,1024878,육식사관학교본점,2025-12-25,1024100,44,3317100,121
,1024878,육식사관학교본점,2025-12-26,904500,42,2879300,109
,1024878,육식사관학교본점,2025-12-27,937700,44,3092300,129
,1024878,육식사관학교본점,2025-12-28,1061400,41,3417400,126
,1024878,육식사관학교본점,2025-12-29,976500,39,2592800,99
,1024878,육식사관학교본점,2025-12-30,465700,22,2082500,84
,1024878,육식사관학교본점,2025-12-31,1023800,43,3012500,115
,1024878,육식사관학교본점,2026-01-01,694700,31,2983600,110
,1024878,육식사관학교본점,2026-01-02,1127300,41,3233100,119
,1024878,육식사관학교본점,2026-01-03,1071100,44,2863000,113
,1024878,육식사관학교본점,2026-01-04,1183500,50,3732900,141
,1024878,육식사관학교본점,2026-01-05,583300,29,2739300,105
,1024878,육식사관학교본점,2026-01-06,939000,35,2745600,103
,1024878,육식사관학교본점,2026-01-07,957400,44,2917900,125
,1024878,육식사관학교본점,2026-01-08,1112900,54,3787400,142
,1024878,육식사관학교본점,2026-01-09,1189900,51,3333200,132
,1024878,육식사관학교본점,2026-01-10,1140600,42,3521400,134
,1024878,육식사관학교본점,2026-01-11,1490300,63,3972200,148
,1024878,육식사관학교본점,2026-01-12,840700,36,2259100,90
,1024878,육식사관학교본점,2026-01-13,1476000,54,2792400,110
,1024878,육식사관학교본점,2026-01-14,893400,37,2854600,106
,1024878,육식사관학교본점,2026-01-15,1159000,47,2632300,113
,1024878,육식사관학교본점,2026-01-16,1350900,46,3454700,129
,1024878,육식사관학교본점,2026-01-17,1162800,43,3025800,112
,1024878,육식사관학교본점,2026-01-18,1589300,60,4196600,157
,1024878,육식사관학교본점,2026-01-19,827000,37,2157000,93
,1024878,육식사관학교본점,2026-01-20,836100,37,3120900,120
,1024878,육식사관학교본점,2026-01-21,1187200,39,3172900,119
,1024878,육식사관학교본점,2026-01-22,1143300,46,3505000,135
,1024878,육식사관학교본점,2026-01-23,1318700,50,3297300,123
,1024878,육식사관학교본점,2026-01-24,1113100,41,3803800,139
,1024878,육식사관학교본점,2026-01-25,1407400,49,4017500,147
,1024878,육식사관학교본점,2026-01-26,905900,34,2182300,85
,1024878,육식사관학교본점,2026-01-27,482400,25,1926200,82
,1024878,육식사관학교본점,2026-01-28,882200,33,2973300,115
,1024878,육식사관학교본점,2026-01-29,1418000,40,3442400,122
,1024878,육식사관학교본점,2026-01-30,1175000,48,3340500,127
,1024878,육식사관학교본점,2026-01-31,1527600,54,3732400,136
,1024878,육식사관학교본점,2026-02-01,1777200,63,4217000,145
,1024878,육식사관학교본점,2026-02-02,837000,27,2299700,74
,1024878,육식사관학교본점,2026-02-03,760800,25,2091400,68
,1024878,육식사관학교본점,2026-02-04,937500,37,3185100,118
,1024878,육식사관학교본점,2026-02-05,1193900,42,3199300,119
,1024878,육식사관학교본점,2026-02-06,1242500,43,3959900,138
,1024878,육식사관학교본점,2026-02-07,1245300,47,2917200,115
,1024878,육식사관학교본점,2026-02-08,1270100,50,3734900,141
,1024878,육식사관학교본점,2026-02-09,971900,37,2373900,87
,1024878,육식사관학교본점,2026-02-10,836400,31,2183700,78
,1024878,육식사관학교본점,2026-02-11,1201200,45,3103400,117
,1024878,육식사관학교본점,2026-02-12,1072000,39,2929900,110
,1024878,육식사관학교본점,2026-02-13,1121300,40,2743400,102
,1024878,육식사관학교본점,2026-02-14,1316700,48,3048400,105
,1024878,육식사관학교본점,2026-02-15,1016900,37,1839700,69
,1024878,육식사관학교본점,2026-02-18,1407900,57,2284100,91
,1024878,육식사관학교본점,2026-02-19,977100,45,1991300,87
,1024878,육식사관학교본점,2026-02-20,978900,31,2357200,78
,1024878,육식사관학교본점,2026-02-21,1135300,42,2902900,105
,1024878,육식사관학교본점,2026-02-22,1079000,42,2999400,114
,1024878,육식사관학교본점,2026-02-23,1018100,39,2190700,82
,1024878,육식사관학교본점,2026-02-24,818800,29,2320300,75
,1024878,육식사관학교본점,2026-02-25,1168100,39,2733600,98
,1024878,육식사관학교본점,2026-02-26,1016700,37,2899900,105
,1024878,육식사관학교본점,2026-02-27,1134500,43,2342200,89
,1024878,육식사관학교본점,2026-02-28,971200,41,2551000,96
,1024878,육식사관학교본점,2026-03-01,1073700,43,2742600,109
,1024878,육식사관학교본점,2026-03-02,1303500,47,2443400,89
,1024878,육식사관학교본점,2026-03-03,1504200,51,2922200,99
,1024878,육식사관학교본점,2026-03-04,1264400,54,2733700,111
,1024878,육식사관학교본점,2026-03-05,1105600,37,2980800,99
,1024878,육식사관학교본점,2026-03-06,1544900,53,3324700,115
,1024878,육식사관학교본점,2026-03-07,1255000,54,3044800,122
,1024878,육식사관학교본점,2026-03-08,1815600,69,4192200,149
,1024878,육식사관학교본점,2026-03-09,880800,34,2200200,86
,1024878,육식사관학교본점,2026-03-10,801400,36,1973200,80
,1024878,육식사관학교본점,2026-03-11,1077900,38,2653200,100
,1024878,육식사관학교본점,2026-03-12,1138700,41,2527600,92
,1024878,육식사관학교본점,2026-03-13,719800,25,2329000,86
,1024878,육식사관학교본점,2026-03-14,1226000,49,3238600,121
,1024878,육식사관학교본점,2026-03-15,1601600,62,3258600,119
,1024878,육식사관학교본점,2026-03-16,570300,24,1895800,74
,1024878,육식사관학교본점,2026-03-17,815100,28,2062600,77
,1024878,육식사관학교본점,2026-03-18,893000,32,2335400,86
,1024878,육식사관학교본점,2026-03-19,982900,35,2402600,87
,1024878,육식사관학교본점,2026-03-20,1108600,37,2724600,97
,1024878,육식사관학교본점,2026-03-21,1235600,42,3136500,108
,1024878,육식사관학교본점,2026-03-22,1243500,51,3461400,135
