mate_code,mate_name,shopNumber,baemin_name,status
1026943,육식사관학교첨단점,14548101,육식사관학교 첨단점,matched
1028928,육식사관학교 독산점,14590778,육식사관학교 독산점,matched
1029164,육식사관학교 영등포점,14596329,육식사관학교 영등포점,matched
1030390,육식사관학교천안역점,14622220,육식사관학교 천안역점,matched
1030496,육식사관학교광주용봉점,14622805,육식사관학교 광주용봉점,matched
1032603,육식사관학교 신촌점,14648776,육식사관학교 신촌점,matched
1033158,육식사관학교 광주동구점,14656760,육식사관학교 광주동구점,matched
1033451,육식사관학교 건대점,14662149,육식사관학교 건대점,matched
1034126,육식사관학교안산중앙점,14672950,육식사관학교 안산중앙점,matched
1034178,육식사관학교 여수여서점,14668913,육식사관학교 여수여서점,matched
1034265,육식사관학교 서대전점,14677340,육식사관학교 서대전점,matched
1034814,육식사관학교대구달서점,14686095,육식사관학교 대구달서점,matched
1035080,육식사관학교 전주송천점,14692909,육식사관학교 전주송천점,matched
1035165,육식사관학교 수원영통점,14692831,육식사관학교 수원영통점,matched
1035389,육식사관학교 일산대화점,14696945,육식사관학교 일산대화점,matched
1035449,육식사관학교 청량리점,14698682,육식사관학교 청량리점,matched
1035464,육식사관학교 광주광산점,14697990,육식사관학교 광주광산점,matched
1035500,육식사관학교 광주상무점,14697166,육식사관학교 광주상무점,matched
1035560,육식사관학교시흥신천점,14700546,육식사관학교 시흥신천점,matched
1035606,육식사관학교 부산덕천점,14702390,육식사관학교 부산덕천점,matched
1035963,육식사관학교순천조례점,14705600,육식사관학교 순천 조례점,matched
1035977,육식사관학교 대구수성점,14706515,육식사관학교 대구수성점,matched
1035983,육식사관학교 김포장기점,14706881,육식사관학교 김포장기점,matched
1036023,육식사관학교 김포구래점 ,14708785,육식사관학교 김포구래점,matched
1036033,육식사관학교 대구침산점,14709907,육식사관학교 대구침산점,matched
1036169,육식사관학교 강동천호점,14706118,육식사관학교 강동천호점,matched
1036173,육식사관학교전주효자점,14708601,육식사관학교 전주효자점,matched
1036219,육식사관학교 인천송도점,14711180,육식사관학교 인천송도점,matched
1036271,육식사관학교 대전한남대점,14715109,육식사관학교 대전한남대점,matched
1036390,육식사관학교 대구신암점,14715160,육식사관학교 대구신암점,matched
1036714,육식사관학교 망우점,14724008,육식사관학교 망우점,matched
1036845,육식사관학교 천안안서점,14726924,육식사관학교 천안안서점,matched
1036849,육식사관학교 수원매탄점,14727525,육식사관학교 수원매탄점,matched
1037161,육식사관학교 광양중마점,14719462,육식사관학교 광양중마점,matched
1037167,육식사관학교 부천상동점,14724209,육식사관학교 부천상동점,matched
1037648,육식사관학교 하남풍산점,14726983,육식사관학교 하남풍산점,matched
1038045,육식사관학교 인천부평점,14730321,육식사관학교 인천부평점,matched
1038693,육식사관학교 인천구월점,14736074,육식사관학교 인천구월점,matched
1038698,육식사관학교 수원매교점,14736136,육식사관학교 수원매교점,matched
1039625,육식사관학교 병점점,14739304,육식사관학교 병점점,matched
1040074,육식사관학교 안양범계점,14740252,육식사관학교 안양범계점,matched
1040092,육식사관학교 창원중앙점,14740490,육식사관학교 창원중앙점,matched
1040978,육식사관학교 인천청라점 ,14747616,육식사관학교 인천청라점,matched
1041031,육식사관학교 세종나성점,14748826,육식사관학교 세종나성점,matched
1041332,육식사관학교 영종운서점,14749899,육식사관학교 영종운서점,matched
1041900,육식사관학교 평택비전점 ,14752263,육식사관학교 평택비전점,matched
1041931,육식사관학교 구리수택점,14752529,육식사관학교 구리수택점,matched
1041935,육식사관학교 오산원동점,14752338,육식사관학교 오산원동점,matched
1042082,육식사관학교순천매곡점,14753854,육식사관학교 순천매곡점,matched
1042097,육식사관학교 포항우현점,14753761,육식사관학교 포항우현점,matched
